Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy
1,0.6961305737495422,0.5541666746139526,0.7035887837409973,0.4749999940395355
2,0.695976972579956,0.5541666746139526,0.7034608721733093,0.4749999940395355
3,0.6958233714103699,0.5541666746139526,0.7033330202102661,0.4749999940395355
4,0.6956700682640076,0.5541666746139526,0.7032053470611572,0.48750001192092896
5,0.6955167651176453,0.5541666746139526,0.7030777931213379,0.48750001192092896
6,0.6953636407852173,0.5541666746139526,0.702950119972229,0.48750001192092896
7,0.6952102184295654,0.5541666746139526,0.7028226852416992,0.48750001192092896
8,0.6950570940971375,0.5541666746139526,0.7026953101158142,0.48750001192092896
9,0.694904088973999,0.5541666746139526,0.702567994594574,0.48750001192092896
10,0.6947512030601501,0.5541666746139526,0.7024407386779785,0.48750001192092896
11,0.6945987343788147,0.5541666746139526,0.7023137211799622,0.48750001192092896
12,0.6944466829299927,0.5541666746139526,0.7021868824958801,0.48750001192092896
13,0.6942952275276184,0.5541666746139526,0.702060341835022,0.48750001192092896
14,0.6941439509391785,0.5583333373069763,0.701934278011322,0.48750001192092896
15,0.6939926147460938,0.5583333373069763,0.701808512210846,0.48750001192092896
16,0.6938417553901672,0.5583333373069763,0.7016826868057251,0.48750001192092896
17,0.693690836429596,0.5583333373069763,0.7015568614006042,0.48750001192092896
18,0.6935397982597351,0.5625,0.7014309763908386,0.48750001192092896
19,0.6933885216712952,0.5625,0.701305091381073,0.48750001192092896
20,0.6932370662689209,0.5625,0.7011792659759521,0.48750001192092896
21,0.6930857300758362,0.5625,0.7010536193847656,0.48750001192092896
22,0.6929346919059753,0.5625,0.700928807258606,0.48750001192092896
23,0.6927838921546936,0.5625,0.7008042335510254,0.48750001192092896
24,0.692633330821991,0.5625,0.7006799578666687,0.48750001192092896
25,0.6924833059310913,0.5625,0.7005557417869568,0.48750001192092896
26,0.692333459854126,0.5625,0.7004317045211792,0.48750001192092896
27,0.6921840906143188,0.5625,0.7003077268600464,0.48750001192092896
28,0.6920347809791565,0.5625,0.7001838684082031,0.48750001192092896
29,0.6918853521347046,0.5625,0.7000600099563599,0.48750001192092896
30,0.6917364597320557,0.5625,0.6999362707138062,0.48750001192092896
31,0.691587507724762,0.5625,0.6998125910758972,0.48750001192092896
32,0.6914384365081787,0.5625,0.6996889710426331,0.48750001192092896
33,0.6912893652915955,0.5625,0.6995653510093689,0.48750001192092896
34,0.6911402344703674,0.5625,0.6994418501853943,0.48750001192092896
35,0.690991222858429,0.5625,0.6993185877799988,0.48750001192092896
36,0.6908424496650696,0.5625,0.6991956233978271,0.48750001192092896
37,0.6906936764717102,0.5625,0.6990725994110107,0.48750001192092896
38,0.6905449032783508,0.5625,0.6989501118659973,0.48750001192092896
39,0.6903966069221497,0.5625,0.6988280415534973,0.48750001192092896
40,0.6902481317520142,0.5625,0.6987054944038391,0.48750001192092896
41,0.6900995969772339,0.5625,0.6985824704170227,0.48750001192092896
42,0.6899511814117432,0.5625,0.6984590888023376,0.48750001192092896
43,0.6898029446601868,0.5625,0.698335587978363,0.48750001192092896
44,0.6896547675132751,0.5625,0.6982120275497437,0.48750001192092896
45,0.6895067095756531,0.5625,0.698088526725769,0.48750001192092896
46,0.6893587112426758,0.5625,0.6979652643203735,0.48750001192092896
47,0.6892108917236328,0.5625,0.697842001914978,0.48750001192092896
48,0.6890631318092346,0.5625,0.6977192163467407,0.48750001192092896
49,0.6889154314994812,0.5625,0.697596549987793,0.48750001192092896
50,0.6887677907943726,0.5625,0.6974738836288452,0.48750001192092896
51,0.6886200308799744,0.5625,0.6973511576652527,0.48750001192092896
52,0.6884721517562866,0.5625,0.6972285509109497,0.48750001192092896
53,0.6883243918418884,0.5625,0.6971060037612915,0.48750001192092896
54,0.6881765723228455,0.5625,0.6969833970069885,0.48750001192092896
55,0.6880284547805786,0.5625,0.6968609690666199,0.48750001192092896
56,0.6878805756568909,0.5625,0.6967388987541199,0.48750001192092896
57,0.6877333521842957,0.5625,0.6966165900230408,0.48750001192092896
58,0.6875858306884766,0.5625,0.6964944005012512,0.48750001192092896
59,0.6874383091926575,0.5666666626930237,0.6963729858398438,0.48750001192092896
60,0.6872913241386414,0.5666666626930237,0.6962515711784363,0.48750001192092896
61,0.6871445178985596,0.5666666626930237,0.6961302757263184,0.48750001192092896
62,0.6869979500770569,0.5666666626930237,0.6960090398788452,0.5
63,0.6868513822555542,0.5666666626930237,0.6958876848220825,0.5
64,0.6867049932479858,0.5666666626930237,0.6957656741142273,0.5
65,0.686558187007904,0.5666666626930237,0.6956436038017273,0.5
66,0.6864115595817566,0.5666666626930237,0.6955214738845825,0.5
67,0.6862650513648987,0.5666666626930237,0.6953991651535034,0.5
68,0.6861191987991333,0.5666666626930237,0.6952770352363586,0.5
