Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy
1,0.5963614583015442,0.6666666865348816,0.5369892716407776,0.7875000238418579
2,0.45208311080932617,0.8458333611488342,0.4570891261100769,0.7749999761581421
3,0.37924468517303467,0.862500011920929,0.4165293574333191,0.7875000238418579
4,0.3365996479988098,0.8666666746139526,0.4008428454399109,0.7875000238418579
5,0.31086263060569763,0.8708333373069763,0.392905056476593,0.8125
6,0.2952178716659546,0.8791666626930237,0.3804612159729004,0.800000011920929
7,0.2842867076396942,0.8833333253860474,0.37254178524017334,0.7875000238418579
8,0.2754930853843689,0.875,0.3877292275428772,0.8500000238418579
9,0.2705915570259094,0.887499988079071,0.38227564096450806,0.8374999761581421
10,0.26571929454803467,0.8833333253860474,0.37431469559669495,0.824999988079071
11,0.2621805667877197,0.8833333253860474,0.3749924302101135,0.8374999761581421
12,0.25752755999565125,0.8791666626930237,0.3982728123664856,0.8374999761581421
13,0.2572953999042511,0.8958333134651184,0.37822943925857544,0.8374999761581421
14,0.25623926520347595,0.8958333134651184,0.38956815004348755,0.8374999761581421
15,0.2535150647163391,0.8916666507720947,0.3928831219673157,0.8374999761581421
16,0.2539287805557251,0.8958333134651184,0.3876800835132599,0.8374999761581421
17,0.2514188289642334,0.8999999761581421,0.38098329305648804,0.8374999761581421
18,0.25149449706077576,0.8916666507720947,0.387057363986969,0.8374999761581421
19,0.25111520290374756,0.8958333134651184,0.3865853250026703,0.8374999761581421
20,0.24991805851459503,0.887499988079071,0.39668530225753784,0.8500000238418579
21,0.24951544404029846,0.9083333611488342,0.3853027820587158,0.8374999761581421
22,0.2483849823474884,0.8999999761581421,0.3862462639808655,0.8500000238418579
23,0.24396492540836334,0.9083333611488342,0.37328609824180603,0.824999988079071
24,0.24985387921333313,0.8958333134651184,0.3902832865715027,0.8500000238418579
25,0.24733231961727142,0.9083333611488342,0.3899845480918884,0.8500000238418579
26,0.24216513335704803,0.8958333134651184,0.4232116639614105,0.8500000238418579
27,0.24743090569972992,0.9083333611488342,0.3871120512485504,0.8500000238418579
28,0.24574561417102814,0.9083333611488342,0.38906198740005493,0.8500000238418579
29,0.24445272982120514,0.9041666388511658,0.3976356089115143,0.862500011920929
30,0.24421188235282898,0.9166666865348816,0.3867540955543518,0.8500000238418579
